,enzyme,R
458,2.5.1.10,R02003
459,2.5.1.29,R02061
460,1.1.1.30,R01361
461,2.1.1.5,R02821
462,2.7.1.15,R01051
463,2.7.1.15,R02750
464,2.1.2.1,R00945
465,2.1.2.1,R09099
466,2.7.1.23,R00104
467,2.5.1.22,R02869
468,2.7.7.23,R00416
469,2.7.7.83,R10183
470,3.6.5.4,R00335
471,3.5.1.12,R01076
472,3.5.1.12,R01077
473,3.5.1.12,R06134
474,5.3.99.5,R02268
475,2.2.1.1,R01641
476,2.2.1.1,R01067
477,2.2.1.1,R01830
478,2.2.1.1,R06590
479,2.2.1.1,R06861
480,2.2.1.1,R06863
481,2.4.2.29,R03789
482,2.4.2.29,R10209
483,3.1.1.4,R01315
484,3.1.1.4,R01317
485,3.1.1.4,R07064
486,3.1.1.4,R07859
487,3.1.1.4,R02053
488,3.1.1.4,R03107
489,3.1.1.4,R07379
490,3.1.1.4,R07387
491,2.8.2.20,R02586
492,2.7.1.107,R02240
493,1.14.13.9,R01960
494,6.1.1.1,R02918
495,2.4.1.83,R01009
496,2.3.1.97,R03992
497,2.8.2.11,R04017
498,2.8.2.11,R06279
499,2.8.2.11,R05105
500,2.8.2.11,R06122
501,2.8.2.11,R10805
502,3.2.2.6,R00102
503,3.2.2.6,R10629
504,3.2.2.6,R10630
505,2.4.99.20,R00119
506,2.4.99.20,R10631
507,2.4.99.20,R10632
508,6.1.1.20,R03660
509,1.2.4.4,R01701
510,1.2.4.4,R01702
511,1.2.4.4,R04225
512,1.2.4.4,R07599
513,1.2.4.4,R07600
514,1.2.4.4,R07601
515,1.2.4.4,R07602
516,1.2.4.4,R07603
517,1.2.4.4,R07604
518,1.2.4.4,R10996
519,1.2.4.4,R10997
520,3.1.2.22,R08602
521,3.1.2.22,R01274
522,6.4.1.3,R01859
523,6.4.1.3,R08924
524,1.1.1.37,R00342
525,1.1.1.37,R07136
526,2.3.1.176,R04811
527,2.3.1.176,R05330
528,2.3.1.176,R07937
529,2.3.1.176,R07953
530,2.7.11.8,R00162
531,2.7.1.82,R01468
532,1.14.99.1,R01599
533,1.14.99.1,R00073
534,1.14.99.1,R01590
535,1.1.1.315,R03048
536,1.1.1.315,R08382
537,3.1.1.79,R01369
538,3.1.1.79,R05209
539,3.1.1.79,R07293
540,3.1.3.56,R03394
541,3.1.3.56,R03430
542,2.1.2.9,R03940
543,5.1.3.3,R01602
544,5.1.3.3,R10619
545,1.3.1.38,R01278
546,1.3.1.38,R03776
547,1.3.1.38,R03856
548,1.3.1.38,R03989
549,1.3.1.38,R04753
550,1.3.1.38,R06985
551,3.9.1.3,R11258
552,3.9.1.3,R11259
553,2.3.2.2,R01262
554,2.3.2.2,R01687
555,2.3.2.2,R03867
556,2.3.2.2,R04935
557,2.3.2.2,R03916
558,2.3.2.2,R03970
559,2.3.2.2,R03971
560,3.4.19.13,R00494
561,6.1.1.11,R03662
562,6.1.1.11,R08218
563,3.1.3.74,R00173
564,3.1.3.74,R01911
565,3.1.3.74,R02494
566,2.7.7.8,R00437
567,2.7.7.8,R00438
568,2.7.7.8,R00439
569,2.7.7.8,R00440
570,2.4.1.109,R04072
571,2.4.1.109,R07620
572,2.4.1.109,R11399
573,2.3.1.6,R01023
574,3.5.3.15,R02621
575,2.7.3.2,R01881
576,2.1.1.6,R00827
577,2.1.1.6,R02534
578,2.1.1.6,R02920
579,2.1.1.6,R03304
580,2.1.1.6,R04301
581,2.1.1.6,R04762
582,2.1.1.6,R04764
583,2.1.1.6,R04881
584,2.1.1.6,R04887
585,2.7.1.20,R00185
586,2.5.1.141,R07411
587,1.13.11.63,R00032
588,2.3.1.7,R02396
589,2.7.1.113,R01967
590,1.3.1.21,R01456
591,1.3.1.21,R01451
592,1.3.1.21,R07487
593,1.3.1.21,R07492
594,3.6.1.23,R02100
595,3.6.1.23,R11896
596,2.4.1.224,R05936
597,2.4.1.224,R10139
598,2.4.1.225,R05935
599,2.4.1.225,R10138
600,2.4.1.223,R05930
601,2.4.1.223,R07397
602,1.2.1.3,R00631
603,1.2.1.3,R00710
604,1.2.1.3,R00904
605,1.2.1.3,R01752
606,1.2.1.3,R02549
607,1.2.1.3,R02678
608,1.2.1.3,R02940
609,1.2.1.3,R03283
610,1.2.1.3,R03869
611,1.2.1.3,R04065
612,1.2.1.3,R04506
613,1.2.1.3,R04903
614,1.2.1.3,R05050
615,1.2.1.3,R05286
616,1.2.1.3,R06366
617,1.2.1.3,R08146
618,1.2.1.3,R00264
619,1.2.1.3,R01986
620,1.2.1.3,R02957
621,1.2.1.3,R05237
622,1.2.1.3,R05238
623,2.7.9.3,R03595
624,1.14.13.8,R03344
625,1.14.13.8,R04523
626,1.14.13.8,R08266
627,2.4.2.19,R03348
628,4.2.1.46,R06513
629,6.3.2.17,R00942
630,6.3.2.17,R01654
631,6.3.2.17,R02237
632,6.3.2.17,R05197
633,2.4.1.68,R09319
634,2.1.1.2,R01883
635,3.5.4.6,R00181
636,3.5.1.2,R00256
637,3.5.1.2,R01579
638,3.5.1.2,R06134
639,2.1.1.20,R00367
640,2.4.1.117,R01005
641,2.4.1.186,R03681
642,2.6.1.52,R04173
643,2.6.1.52,R05085
644,2.4.1.11,R00292
645,2.4.1.11,R06051
646,6.1.1.5,R03656
647,1.1.1.42,R00267
648,1.1.1.42,R00268
649,1.1.1.42,R01899
650,5.3.3.2,R01123
651,3.1.6.13,R07812
652,3.1.6.13,R07821
653,3.1.3.25,R01185
654,3.1.3.25,R01186
655,3.1.3.25,R01187
656,2.7.1.127,R03433
657,2.7.1.3,R00866
658,2.7.1.3,R03819
659,3.5.3.1,R00551
660,2.4.1.22,R00503
661,2.4.1.22,R06067
662,1.4.3.13,R04239
663,3.1.1.7,R01026
664,3.2.1.18,R03491
665,3.2.1.18,R04018
666,3.2.1.18,R04634
667,3.2.1.18,R04650
668,3.2.1.18,R05115
669,3.2.1.18,R05117
670,3.2.1.18,R05996
671,3.2.1.18,R05998
672,3.2.1.18,R05999
673,3.2.1.18,R06012
674,3.2.1.18,R06147
675,3.2.1.18,R06253
676,2.1.3.3,R01398
677,2.7.4.10,R00157
678,2.1.1.77,R04190
679,6.1.1.2,R03664
680,1.13.11.20,R00893
681,2.7.7.41,R01799
682,6.3.3.2,R02301
683,1.5.1.6,R00941
684,5.5.1.4,R07324
685,3.5.1.6,R00905
686,3.5.1.6,R04666
687,3.5.1.6,R06134
688,3.5.1.6,R08228
689,1.1.1.44,R01528
690,1.1.1.343,R10221
691,3.1.4.4,R01310
692,3.1.4.4,R02051
693,3.1.4.4,R07385
694,3.1.3.43,R03450
695,1.5.5.2,R01253
696,2.7.8.29,R07376
697,2.4.2.9,R00966
698,1.3.8.8,R01279
699,1.3.8.8,R03777
700,1.3.8.8,R03857
701,1.3.8.8,R03990
702,1.3.8.8,R04751
703,1.3.8.8,R04754
704,2.7.11.10,R00162
705,2.7.11.21,R00162
706,4.1.1.19,R00566
707,4.3.2.7,R11861
708,2.7.11.2,R03449
709,4.1.1.36,R03269
710,2.4.1.174,R05929
711,2.4.1.175,R04603
712,2.4.1.175,R05932
713,2.4.1.175,R05934
714,1.1.99.1,R01025
715,3.2.1.14,R01206
716,3.2.1.14,R02334
717,3.2.1.14,R06081
718,3.2.1.14,R06082
719,1.14.18.9,R04501
720,1.14.18.9,R05733
721,1.14.18.9,R05734
722,1.14.18.9,R10057
723,1.14.18.9,R04328
724,1.14.18.9,R07509
725,1.14.18.9,R12403
726,1.1.1.170,R04483
727,1.1.1.170,R07149
728,1.1.1.170,R07494
729,1.1.1.170,R12404
730,1.1.1.170,R04328
731,2.5.1.16,R01920
732,2.5.1.16,R08359
733,1.1.1.10,R01904
734,4.1.2.4,R01066
735,2.5.1.58,R09844
736,2.3.1.75,R01999
737,2.4.1.147,R05909
738,2.4.1.147,R03513
739,3.2.1.207,R05980
740,3.2.1.207,R05981
741,2.7.1.137,R03362
742,2.4.1.134,R05927
743,5.2.1.8,R04273
744,2.3.1.179,R02768
745,2.3.1.179,R04355
746,2.3.1.179,R04726
747,2.3.1.179,R04952
748,2.3.1.179,R04957
749,2.3.1.179,R04960
750,2.3.1.179,R04963
751,2.3.1.179,R04968
752,2.3.1.179,R07762
753,2.3.1.179,R10115
754,2.3.1.179,R10119
755,2.7.11.14,R02903
756,1.3.99.12,R03172
757,1.3.99.12,R02661
758,1.3.8.9,R01279
759,1.3.8.9,R03990
760,2.4.1.259,R06259
761,2.4.1.261,R06261
762,1.5.8.3,R00611
763,2.3.1.57,R01154
764,3.1.1.23,R01351
765,3.1.1.23,R01352
766,2.5.1.17,R12183
767,2.5.1.17,R12184
768,2.5.1.17,R01492
769,2.5.1.17,R05220
770,2.5.1.17,R07268
771,3.4.17.23,R09535
772,3.3.2.9,R07627
773,3.3.2.9,R11930
774,3.3.2.9,R07013
775,3.3.2.9,R07014
776,3.3.2.9,R07027
777,3.3.2.9,R07071
778,3.3.2.9,R07072
779,3.3.2.9,R07082
780,3.3.2.9,R09410
781,3.3.2.9,R09417
782,3.3.2.9,R09443
783,3.3.2.10,R05842
784,3.3.2.10,R07108
785,3.3.2.10,R07109
786,3.3.2.10,R07110
787,3.3.2.10,R07111
788,3.1.3.76,R07582
789,1.13.11.52,R00678
790,1.13.11.52,R07362
791,1.13.11.52,R02702
792,1.13.11.52,R02909
793,1.13.11.52,R03628
794,2.4.1.131,R06127
795,2.4.1.131,R06128
796,1.3.1.72,R05703
797,1.3.1.72,R01457
798,1.3.1.72,R03689
799,1.3.1.72,R07498
800,1.3.1.72,R07499
801,1.3.1.72,R07507
802,1.15.1.1,R00275
803,6.1.1.6,R03658
804,2.7.11.30,R00162
805,6.1.1.4,R03657
806,2.7.1.28,R01059
807,2.7.1.29,R01011
808,4.6.1.15,R07636
809,2.8.1.8,R07767
810,2.8.1.8,R12423
811,2.8.1.8,R12424
812,2.7.8.41,R02030
813,3.1.4.35,R01234
814,1.14.11.66,R09510
815,1.14.11.66,R12459
816,1.14.11.66,R12460
817,1.14.11.69,R09510
818,1.14.11.69,R12459
819,1.14.11.69,R12460
820,2.4.1.135,R04607
821,2.4.1.135,R05928
822,1.8.4.2,R03915
823,1.8.4.2,R02824
824,4.1.1.29,R02466
825,4.1.1.29,R01682
826,3.5.1.88,R05635
827,3.5.1.88,R04268
828,2.1.1.49,R02174
829,2.1.1.49,R02910
830,2.1.1.49,R08537
831,2.1.1.96,R02572
832,2.1.1.96,R09370
833,3.5.3.11,R01157
834,3.6.1.5,R02319
835,3.6.1.5,R10442
836,3.6.1.5,R10443
837,3.6.1.5,R00085
838,3.6.1.5,R00086
839,3.6.1.5,R00122
840,3.6.1.5,R00155
841,3.6.1.5,R00159
842,3.6.1.5,R00328
843,3.6.1.5,R00335
844,3.6.1.5,R00514
845,3.6.1.5,R00569
846,3.6.1.5,R00719
847,3.6.1.5,R00961
848,3.6.1.5,R02092
849,3.6.1.5,R02095
850,3.6.1.6,R00155
851,3.6.1.6,R00328
852,3.6.1.6,R00961
853,2.7.1.30,R00847
854,1.14.11.8,R03451
855,2.7.1.21,R01567
856,2.7.1.21,R02099
857,2.7.1.21,R08233
858,3.2.1.113,R12479
859,3.4.17.21,R10687
860,3.4.17.21,R10688
861,1.14.11.2,R03219
862,1.14.11.2,R01252
863,1.14.19.1,R02222
864,1.14.19.1,R12173
865,2.4.1.149,R04659
866,2.4.1.149,R05974
867,2.4.1.149,R05975
868,1.14.15.15,R03507
869,1.14.15.15,R04807
870,1.14.15.15,R08761
871,1.14.15.15,R11142
872,1.14.15.15,R04806
873,1.14.15.15,R08505
874,1.14.15.15,R08758
875,1.14.15.15,R08759
876,1.14.15.15,R08760
877,2.4.99.7,R04635
878,2.4.99.9,R03488
879,2.4.99.9,R05937
880,2.4.99.9,R04630
881,2.4.99.9,R04647
882,2.4.99.9,R06003
883,2.4.99.9,R06007
884,2.1.1.114,R04711
885,2.1.1.64,R02175
886,2.1.1.64,R05614
887,2.1.1.64,R07235
888,5.4.99.12,R03020
889,2.3.3.1,R00351
890,2.4.1.228,R03486
891,2.4.1.228,R05960
892,2.4.1.228,R11375
893,2.4.1.228,R11376
894,2.4.1.228,R11377
895,1.14.14.1,R01842
896,1.14.14.1,R02354
897,1.14.14.1,R02355
898,1.14.14.1,R02356
899,1.14.14.1,R02503
900,1.14.14.1,R03088
901,1.14.14.1,R03089
902,1.14.14.1,R03090
903,1.14.14.1,R03408
904,1.14.14.1,R03629
905,1.14.14.1,R04121
906,1.14.14.1,R03697
907,1.14.14.1,R05259
908,1.14.14.1,R07000
909,1.14.14.1,R07001
910,1.14.14.1,R07021
911,1.14.14.1,R07022
912,1.14.14.1,R07042
913,1.14.14.1,R07043
914,1.14.14.1,R07044
915,1.14.14.1,R07045
916,1.14.14.1,R07046
917,1.14.14.1,R07048
918,1.14.14.1,R07050
919,1.14.14.1,R07051
920,1.14.14.1,R07052
921,1.14.14.1,R07054
922,1.14.14.1,R07055
923,1.14.14.1,R07056
924,1.14.14.1,R07079
925,1.14.14.1,R07080
926,1.14.14.1,R07081
927,1.14.14.1,R07085
928,1.14.14.1,R07087
929,1.14.14.1,R07098
930,1.14.14.1,R07099
931,1.14.14.1,R07939
932,1.14.14.1,R07943
933,1.14.14.1,R07945
934,1.14.14.1,R08225
935,1.14.14.1,R08265
936,1.14.14.1,R08267
937,1.14.14.1,R08270
938,1.14.14.1,R08286
939,1.14.14.1,R08287
940,1.14.14.1,R08293
941,1.14.14.1,R08294
942,1.14.14.1,R08312
943,1.14.14.1,R08343
944,1.14.14.1,R08344
945,1.14.14.1,R08345
946,1.14.14.1,R08390
947,1.14.14.1,R08391
948,1.14.14.1,R08392
949,1.14.14.1,R09404
950,1.14.14.1,R09405
951,1.14.14.1,R09406
952,1.14.14.1,R09407
953,1.14.14.1,R09408
954,1.14.14.1,R09416
955,1.14.14.1,R09418
956,1.14.14.1,R09421
957,1.14.14.1,R09423
958,1.14.14.1,R09424
959,1.14.14.1,R09425
960,1.14.14.1,R09442
961,1.14.14.24,R03611
962,1.14.14.29,R07209
963,1.14.14.29,R07372
964,1.14.14.29,R08727
965,1.14.14.29,R08943
966,1.14.18.8,R04826
967,1.14.14.139,R07204
968,1.14.14.14,R01840
969,1.14.14.14,R02351
970,1.14.14.14,R02501
971,1.14.14.14,R03087
972,1.14.14.14,R04759
973,1.14.14.14,R04761
974,1.14.14.14,R10511
975,1.14.14.14,R10515
976,1.14.15.16,R09515
977,1.14.15.16,R09516
978,1.14.14.26,R07208
979,1.14.14.25,R07207
980,4.2.1.17,R03026
981,4.2.1.17,R03045
982,4.2.1.17,R04170
983,4.2.1.17,R04204
984,4.2.1.17,R04224
985,4.2.1.17,R04738
986,4.2.1.17,R04740
987,4.2.1.17,R04744
988,4.2.1.17,R04746
989,4.2.1.17,R04749
990,4.2.1.17,R07889
991,4.2.1.17,R07893
992,4.2.1.17,R07897
993,4.2.1.17,R07314
994,4.2.1.17,R03224
995,4.2.1.17,R04137
996,4.2.1.17,R05595
997,4.2.1.17,R06411
998,4.2.1.17,R06412
999,4.2.1.17,R06942
1000,4.2.1.17,R08093
1001,1.14.14.79,R10795
1002,2.3.1.16,R00238
1003,2.3.1.16,R00829
1004,2.3.1.16,R00927
1005,2.3.1.16,R01177
1006,2.3.1.16,R03778
1007,2.3.1.16,R03858
1008,2.3.1.16,R03991
1009,2.3.1.16,R04742
1010,2.3.1.16,R04747
1011,2.3.1.16,R05506
1012,2.3.1.16,R05586
1013,2.3.1.16,R07891
1014,2.3.1.16,R07895
1015,2.3.1.16,R07899
1016,2.3.1.16,R07937
1017,2.3.1.16,R07953
1018,2.3.1.16,R08091
1019,2.3.1.16,R08095
1020,2.4.1.47,R04322
1021,2.4.1.47,R10804
1022,1.1.1.34,R02082
1023,1.2.4.2,R01700
1024,1.2.4.2,R00621
1025,1.2.4.2,R01933
1026,1.2.4.2,R01940
1027,1.2.4.2,R03316
1028,1.2.4.2,R08549
1029,3.5.1.92,R02973
1030,1.6.5.2,R02964
1031,1.6.5.2,R03643
1032,1.6.5.2,R03816
1033,1.6.5.2,R07359
1034,1.10.5.1,R07361
1035,2.6.1.42,R01090
1036,2.6.1.42,R01214
1037,2.6.1.42,R02199
1038,2.6.1.42,R10991
1039,3.1.3.57,R03393
1040,3.1.3.57,R03427
1041,2.8.2.35,R10873
1042,2.8.2.33,R10868
1043,2.8.2.33,R10869
1044,1.14.11.7,R03218
1045,2.7.11.4,R03516
1046,2.7.11.15,R03274
1047,6.1.1.17,R05578
1048,1.13.11.33,R01593
1049,1.13.11.33,R03626
1050,1.6.2.2,R00100
1051,3.1.6.12,R07823
1052,6.1.1.15,R03661
1053,3.5.1.52,R08707
1054,4.6.1.1,R00089
1055,4.6.1.1,R00434
1056,2.7.11.19,R00076
1057,2.4.1.65,R06155
1058,2.4.1.65,R06025
1059,2.4.1.65,R06038
1060,2.4.1.65,R06039
1061,2.4.1.65,R06075
1062,2.4.1.65,R06076
1063,2.4.1.65,R06095
1064,2.4.1.65,R06162
1065,2.4.1.65,R06163
1066,2.4.1.65,R06164
1067,2.4.1.65,R06165
1068,2.4.1.65,R06221
1069,2.4.1.65,R06222
1070,2.4.1.65,R06224
1071,2.4.1.65,R06227
1072,2.4.1.65,R06230
1073,2.4.1.274,R03354
1074,2.4.1.274,R06276
1075,2.7.7.72,R09382
1076,2.7.7.72,R09383
1077,2.7.7.72,R09384
1078,2.7.7.72,R09386
1079,6.1.1.12,R05577
1080,2.4.99.1,R04532
1081,2.4.99.1,R06188
1082,2.4.99.1,R03489
1083,2.4.99.1,R05580
1084,2.4.99.1,R05905
1085,2.4.99.1,R05906
1086,2.4.99.1,R05990
1087,2.4.99.1,R06121
1088,2.4.99.1,R09298
1089,2.7.11.18,R03150
1090,2.3.2.8,R03862
1091,1.1.1.31,R05066
1092,1.14.14.23,R01463
1093,1.14.14.23,R07372
1094,1.14.14.23,R08961
1095,1.14.14.19,R02211
1096,1.14.14.19,R03783
1097,1.14.14.19,R04852
1098,1.14.14.19,R04853
1099,1.14.14.32,R08517
1100,1.14.14.32,R08518
1101,1.14.14.16,R02213
1102,1.14.14.16,R02838
1103,1.14.14.16,R03326
1104,1.14.14.16,R03784
1105,1.14.14.16,R03849
1106,1.14.14.16,R04675
1107,5.3.99.4,R02267
1108,1.8.4.11,R04120
1109,1.8.4.11,R07606
1110,1.14.15.6,R02723
1111,1.14.15.6,R02724
1112,1.14.15.6,R03933
1113,1.14.15.6,R04855
1114,1.14.15.6,R01454
1115,1.14.15.6,R04676
1116,1.14.15.6,R04854
1117,2.8.2.2,R03405
1118,2.8.2.2,R08977
1119,2.8.2.2,R08978
1120,1.1.1.102,R02978
1121,2.4.1.86,R11714
1122,2.4.1.86,R04610
1123,2.4.1.86,R06006
1124,2.4.1.146,R04636
1125,2.4.1.146,R05901
1126,3.2.1.166,R07811
1127,1.14.19.20,R07215
1128,1.14.19.20,R07486
1129,1.14.19.20,R07491
1130,1.14.19.20,R07505
1131,2.1.1.201,R09737
1132,2.1.1.201,R04983
1133,2.1.1.201,R04990
1134,2.1.1.201,R08774
1135,3.1.2.21,R04014
1136,3.1.2.21,R08157
1137,3.1.2.21,R08158
1138,3.1.2.21,R12329
1139,1.14.11.51,R11345
1140,2.3.3.8,R00352
1141,3.5.1.89,R03482
1142,3.5.1.89,R05917
1143,1.8.3.5,R09562
1144,1.8.3.6,R09562
1145,2.4.2.3,R01876
1146,2.4.2.3,R02484
1147,2.4.2.3,R08229
1148,2.4.99.3,R05914
1149,2.4.99.3,R06273
1150,2.4.99.4,R04590
1151,2.4.99.4,R05913
1152,2.4.99.4,R04648
1153,2.4.99.4,R05116
1154,2.4.99.4,R05942
1155,2.4.99.4,R05949
1156,2.4.99.4,R05957
1157,2.4.99.4,R05967
1158,2.4.99.8,R04583
1159,2.4.99.8,R05940
1160,2.4.99.8,R05947
1161,2.4.99.8,R06032
1162,2.4.99.8,R04632
1163,2.4.99.8,R04649
1164,2.4.99.8,R04661
1165,2.4.99.8,R05113
1166,2.4.99.8,R05995
1167,2.4.99.8,R06000
1168,2.4.99.8,R06005
1169,2.4.99.8,R06009
1170,2.7.7.19,R00435
1171,3.1.4.11,R03435
1172,3.1.4.11,R03332
1173,3.1.4.11,R10952
1174,3.2.1.31,R07818
1175,3.2.1.31,R08260
1176,3.2.1.31,R10830
1177,3.2.1.31,R04979
1178,3.2.1.31,R08127
1179,3.5.3.4,R02422
1180,3.2.1.1,R02108
1181,3.2.1.1,R02112
1182,3.2.1.1,R06209
1183,3.2.1.1,R11262
1184,2.3.1.50,R01281
1185,3.1.3.4,R02239
1186,3.1.3.4,R04162
1187,3.1.3.4,R06520
1188,3.1.3.4,R06521
1189,3.1.3.4,R06522
1190,1.1.1.35,R01975
1191,1.1.1.35,R04203
1192,1.1.1.35,R04737
1193,1.1.1.35,R04739
1194,1.1.1.35,R04741
1195,1.1.1.35,R04743
1196,1.1.1.35,R04745
1197,1.1.1.35,R04748
1198,1.1.1.35,R06941
1199,1.1.1.35,R07890
1200,1.1.1.35,R07894
1201,1.1.1.35,R07898
1202,1.1.1.35,R05066
1203,1.1.1.35,R05305
1204,1.1.1.35,R05575
1205,1.1.1.35,R08094
1206,2.7.1.11,R04779
1207,2.7.1.11,R00767
1208,2.7.1.11,R00769
1209,2.7.1.11,R00770
1210,2.7.1.11,R01843
1211,2.7.1.11,R03236
1212,2.7.1.11,R03237
1213,2.7.1.11,R03238
1214,2.7.1.11,R03239
1215,2.7.1.36,R02245
1216,1.1.1.205,R01130
1217,1.1.1.205,R08240
1218,4.2.1.11,R00658
1219,4.2.1.11,R04206
1220,2.7.1.74,R01666
1221,2.7.1.74,R00185
1222,2.7.1.6,R01092
1223,2.7.1.40,R00200
1224,2.7.1.40,R00430
1225,2.7.1.40,R00572
1226,2.7.1.40,R00659
1227,2.7.1.40,R00724
1228,2.7.1.40,R01138
1229,2.7.1.40,R01858
1230,2.7.1.40,R02320
1231,1.3.99.23,R07163
1232,3.7.1.2,R01364
1233,2.7.7.12,R00955
1234,1.13.11.27,R02521
1235,1.13.11.27,R01372
1236,1.14.14.18,R00311
1237,2.5.1.21,R00702
1238,2.5.1.21,R02872
1239,2.5.1.21,R06223
1240,4.1.1.22,R01167
1241,3.1.3.1,R02135
1242,3.1.3.1,R03024
1243,3.1.3.1,R01010
1244,3.1.3.1,R04620
1245,3.6.1.7,R00317
1246,3.6.1.7,R01421
1247,3.6.1.7,R01515
1248,2.7.7.31,R00379
1249,4.1.1.50,R00178
1250,1.3.8.1,R01175
1251,1.3.8.1,R04751
1252,1.3.8.1,R02661
1253,1.3.8.1,R03172
1254,1.3.8.1,R04432
1255,2.1.1.56,R03805
1256,3.6.1.1,R00004
1257,1.3.1.2,R00978
1258,1.3.1.2,R01415
1259,1.3.1.2,R08226
1260,2.4.1.133,R05926
1261,5.3.1.22,R01394
1262,2.4.2.7,R00190
1263,2.4.2.7,R01229
1264,2.4.2.7,R04378
1265,2.8.2.1,R01242
1266,2.1.1.13,R00946
1267,2.1.1.13,R09365
1268,5.1.3.8,R01207
1269,2.3.1.135,R08387
1270,2.3.1.135,R08389
1271,1.14.16.1,R07211
1272,1.14.16.1,R01795
1273,1.4.3.3,R02457
1274,1.4.3.3,R02894
1275,1.4.3.3,R02923
1276,1.4.3.3,R05861
1277,1.4.3.3,R07400
1278,1.4.3.3,R00366
1279,1.4.3.3,R04221
1280,1.4.3.3,R06124
1281,4.1.1.32,R00431
1282,4.1.1.32,R00726
1283,2.3.1.9,R00238
1284,2.3.1.9,R00927
1285,2.3.1.9,R01177
1286,4.1.1.28,R02080
1287,4.1.1.28,R02701
1288,4.1.1.28,R00685
1289,4.1.1.28,R00699
1290,4.1.1.28,R00736
1291,4.1.1.28,R04909
1292,4.1.1.105,R00685
1293,4.1.1.105,R11932
1294,3.5.4.16,R00424
1295,3.5.4.16,R00428
1296,3.5.4.16,R04639
1297,3.5.4.16,R05046
1298,3.5.4.16,R05048
1299,1.14.18.1,R00031
1300,1.14.18.1,R00045
1301,1.14.18.1,R00058
1302,1.14.18.1,R00731
1303,1.14.18.1,R02078
1304,1.14.18.1,R02363
1305,1.14.18.1,R02383
1306,1.14.18.1,R02950
1307,1.14.18.1,R04693
1308,1.14.18.1,R04884
1309,2.7.8.11,R01802
1310,2.7.1.1,R00299
1311,2.7.1.1,R00760
1312,2.7.1.1,R00867
1313,2.7.1.1,R01326
1314,2.7.1.1,R01600
1315,2.7.1.1,R01786
1316,2.7.1.1,R01961
1317,2.7.1.1,R02865
1318,2.7.1.1,R03920
1319,2.7.1.1,R00725
1320,2.7.1.1,R00876
1321,2.7.1.1,R01139
1322,2.7.1.1,R01140
1323,2.7.1.1,R01327
1324,2.7.1.1,R01330
1325,2.7.1.1,R01964
1326,2.7.1.1,R01965
1327,2.7.1.1,R02849
1328,2.7.1.1,R02850
1329,2.7.1.1,R02867
1330,2.7.1.1,R02868
1331,3.5.1.9,R01959
1332,3.5.1.9,R00988
1333,3.5.1.9,R04911
1334,3.1.1.45,R03893
1335,3.1.1.45,R05510
1336,3.1.1.45,R05511
1337,3.1.1.45,R06835
1338,3.1.1.45,R06838
1339,3.1.1.45,R08120
1340,3.1.1.45,R08121
1341,3.1.1.45,R09136
1342,3.1.1.45,R09220
1343,3.1.1.45,R09222
1344,3.2.2.19,R01886
1345,3.2.2.19,R07626
1346,3.1.6.8,R04856
1347,3.1.6.8,R06280
1348,4.1.1.15,R00261
1349,4.1.1.15,R00489
1350,4.1.1.15,R01682
1351,4.1.1.15,R02466
1352,5.3.1.9,R02740
1353,5.3.1.9,R03321
1354,5.3.1.9,R02739
1355,2.1.1.45,R02101
1356,2.5.1.6,R00177
1357,2.5.1.6,R04771
1358,2.4.2.26,R05925
1359,2.4.1.69,R05968
1360,2.4.1.69,R06024
1361,2.4.1.69,R06031
1362,2.4.1.69,R06035
1363,2.4.1.69,R06041
1364,2.4.1.69,R06085
1365,2.4.1.69,R06086
1366,2.4.1.69,R06089
1367,2.4.1.69,R06090
1368,2.4.1.69,R06156
1369,2.4.1.69,R06170
1370,3.4.19.9,R04242
1371,3.1.3.66,R07299
1372,3.1.3.66,R04372
1373,3.1.3.66,R10950
1374,1.6.2.4,R00106
1375,1.6.2.4,R05102
1376,1.6.2.4,R08539
1377,1.6.2.4,R08551
1378,1.13.11.34,R01595
1379,1.13.11.34,R03058
1380,1.13.11.34,R08527
1381,1.14.11.4,R03376
1382,1.3.8.7,R01175
1383,1.3.8.7,R01279
1384,1.3.8.7,R03777
1385,1.3.8.7,R03857
1386,1.3.8.7,R03990
1387,1.3.8.7,R04095
1388,1.3.8.7,R04751
1389,1.3.8.7,R04754
1390,1.3.8.7,R02661
1391,1.3.8.7,R03172
1392,2.4.1.1,R01821
1393,2.4.1.1,R06050
1394,2.4.1.1,R02111
1395,2.4.1.1,R06185
1396,1.4.3.1,R00359
1397,1.4.3.1,R06124
1398,2.1.1.1,R01269
1399,5.1.3.1,R01529
1400,1.2.1.18,R00705
1401,1.2.1.18,R00706
1402,1.2.1.27,R00935
1403,1.2.1.27,R00705
1404,1.4.3.21,R02382
1405,1.4.3.21,R02529
1406,1.4.3.21,R02613
1407,1.4.3.21,R03139
1408,1.4.3.21,R04027
1409,1.4.3.21,R04300
1410,1.4.3.21,R05334
1411,1.4.3.21,R06154
1412,1.4.3.21,R06740
1413,2.7.8.2,R01321
1414,2.7.8.2,R04321
1415,2.7.8.2,R04922
1416,2.7.8.2,R07389
1417,4.3.2.1,R01086
1418,2.1.1.67,R08236
1419,2.1.1.67,R08239
1420,2.1.1.67,R08246
1421,5.3.99.3,R02265
1422,3.1.3.77,R07393
1423,3.1.3.77,R07394
1424,3.1.3.77,R07395
1425,1.3.1.24,R02391
