,enzyme,R
2532,2.1.1.228,R00597
2533,2.5.1.114,R10611
2534,2.3.1.225,R10484
2535,3.1.3.64,R03363
2536,3.1.3.64,R03330
2537,3.1.3.64,R06875
2538,3.1.3.95,R10928
2539,1.14.16.5,R04044
2540,5.2.1.2,R03181
2541,5.2.1.2,R03868
2542,2.7.7.78,R09752
2543,1.1.1.79,R00465
2544,1.1.1.79,R01392
2545,1.1.1.79,R02527
2546,1.1.1.81,R01388
2547,1.1.1.81,R01392
2548,2.1.1.290,R10586
2549,2.3.1.231,R10587
2550,3.5.1.99,R09536
2551,3.5.1.99,R09537
2552,1.8.4.12,R07607
2553,2.8.1.9,R11583
2554,3.2.1.169,R09672
2555,3.2.1.169,R09673
2556,1.11.1.20,R09506
2557,2.10.1.1,R09735
2558,2.7.7.75,R09726
2559,2.1.1.204,R00595
2560,1.13.11.18,R08678
2561,1.13.11.18,R11946
2562,1.13.11.18,R11947
2563,2.8.4.5,R10649
2564,2.8.4.5,R10650
2565,2.8.4.5,R10651
2566,3.7.1.5,R01085
2567,3.1.1.32,R01316
2568,3.1.1.32,R02054
2569,3.1.1.32,R04034
2570,3.1.1.32,R07860
2571,1.1.1.330,R10826
2572,1.1.1.330,R07759
2573,3.6.1.12,R01668
2574,3.6.1.12,R01667
2575,1.1.1.51,R01836
2576,1.1.1.51,R01838
2577,1.1.1.51,R02352
2578,1.1.1.51,R02353
2579,1.1.1.51,R03406
2580,1.1.1.51,R03407
2581,1.1.1.51,R09956
2582,1.1.1.51,R09957
2583,1.1.1.188,R02684
2584,1.1.1.188,R02799
2585,1.1.1.213,R02476
2586,1.1.1.213,R02477
2587,1.1.1.213,R08955
2588,1.1.1.213,R08957
2589,1.1.1.213,R08960
2590,1.1.1.213,R11763
2591,1.1.1.357,R10422
2592,1.1.1.357,R10423
2593,2.7.1.81,R03378
2594,3.6.1.64,R00961
2595,3.6.1.64,R10235
2596,1.21.1.1,R09521
2597,1.21.1.1,R09522
2598,1.21.1.1,R10059
2599,1.8.3.4,R01851
2600,1.8.1.8,R03913
2601,1.8.1.8,R03914
2602,5.4.2.8,R01818
2603,6.3.5.6,R04212
2604,6.3.5.7,R03905
2605,2.7.1.183,R11400
2606,2.7.1.183,R12293
2607,3.1.3.96,R11180
2608,4.2.1.68,R03688
2609,3.6.1.55,R09832
2610,4.2.1.93,R00129
2611,4.2.1.93,R10288
2612,3.1.1.97,R11166
2613,1.14.14.51,R02468
2614,1.14.14.52,R02470
2615,1.14.14.53,R06119
2616,1.14.14.75,R12071
2617,4.1.1.6,R02243
2618,1.14.14.78,R10728
2619,1.14.14.94,R03866
2620,2.7.7.86,R10462
2621,2.5.1.108,R10455
2622,3.6.1.56,R09833
2623,5.1.99.6,R10280
2624,5.1.99.6,R10281
2625,2.4.1.312,R10596
2626,2.4.1.312,R11407
2627,1.6.3.5,R11504
2628,1.6.3.5,R11505
2629,1.6.3.5,R10635
2630,1.6.3.5,R10636
2631,1.14.17.3,R03912
2632,4.3.2.5,R03874
2633,4.2.3.134,R10270
2634,6.3.1.14,R03613
2635,1.14.19.53,R11952
2636,4.3.1.17,R00220
2637,4.3.1.17,R00590
2638,4.3.1.17,R11099
2639,4.3.1.17,R11100
2640,4.3.1.17,R06131
2641,4.3.1.19,R00996
2642,4.3.1.19,R11098
2643,4.3.1.19,R11101
2644,4.3.1.19,R00220
2645,4.3.1.19,R06131
2646,1.14.13.32,R03712
2647,1.14.14.55,R05727
2648,1.14.14.56,R10076
2649,1.14.14.57,R07205
2650,1.14.14.57,R07206
2651,1.14.14.73,R12068
2652,1.14.14.73,R12069
2653,6.3.2.3,R00497
2654,6.3.2.3,R10994
2655,1.14.11.42,R10522
2656,1.5.1.25,R04339
2657,1.5.1.25,R04340
2658,2.3.1.108,R04192
2659,5.1.3.29,R10764
2660,4.1.1.94,R09958
2661,2.3.1.17,R00487
2662,6.3.1.17,R10677
2663,6.3.2.41,R10678
2664,6.3.2.42,R10679
2665,6.3.2.42,R10678
2666,6.3.2.42,R10693
2667,4.2.1.77,R04374
2668,1.4.1.21,R07164
2669,1.4.1.21,R07165
2670,1.4.1.21,R07407
2671,1.4.1.21,R07410
2672,1.8.5.8,R11929
2673,3.5.1.114,R10553
2674,3.5.1.114,R10621
2675,2.7.7.43,R01117
2676,2.7.7.43,R04215
2677,2.7.7.92,R11441
2678,3.4.19.14,R09875
2679,3.3.2.2,R02745
2680,3.3.2.2,R03415
2681,3.1.4.2,R01030
2682,3.1.4.2,R01470
2683,2.1.1.297,R10806
2684,2.7.1.157,R08967
2685,2.8.3.13,R02084
2686,1.18.1.6,R10159
2687,2.3.1.80,R04950
2688,2.1.1.60,R04062
2689,2.1.1.60,R03875
2690,2.1.1.60,R04866
2691,2.1.1.60,R04867
2692,4.1.1.11,R00489
2693,2.7.1.12,R01737
2694,3.1.4.44,R01193
2695,1.14.11.63,R12315
2696,2.1.1.85,R02627
2697,3.1.3.18,R01334
2698,2.7.1.140,R03478
2699,2.7.1.151,R05800
2700,2.7.1.151,R05801
2701,2.7.1.151,R10065
2702,2.7.1.151,R10953
2703,1.14.18.6,R11001
2704,2.1.1.22,R02144
2705,1.8.3.1,R00533
2706,2.1.1.10,R11063
2707,2.1.1.10,R00650
2708,1.1.1.50,R02476
2709,1.1.1.50,R04309
2710,1.1.1.50,R04818
2711,1.1.1.50,R04824
2712,1.1.1.50,R04829
2713,1.1.1.50,R04832
2714,1.1.1.50,R04835
2715,1.1.1.50,R04837
2716,1.1.1.50,R04842
2717,1.1.1.50,R04845
2718,1.1.1.50,R02477
2719,1.1.1.50,R04310
2720,1.1.1.50,R04819
2721,1.1.1.50,R04825
2722,1.1.1.50,R04830
2723,1.1.1.50,R04833
2724,1.1.1.50,R04836
2725,1.1.1.50,R04838
2726,1.1.1.50,R04843
2727,1.1.1.50,R04846
2728,1.1.1.50,R08963
2729,1.1.1.225,R03716
2730,1.1.1.149,R03325
2731,1.1.1.149,R02207
2732,1.1.1.149,R02209
2733,1.1.1.149,R08958
2734,1.1.1.149,R08959
2735,1.14.14.80,R07041
2736,1.14.14.80,R09451
2737,1.14.14.80,R09452
2738,1.14.14.80,R01348
2739,1.14.14.80,R07046
2740,1.14.13.225,R11425
2741,2.4.1.87,R04531
2742,2.4.1.87,R05978
2743,2.4.1.87,R06145
2744,2.4.1.87,R06169
2745,2.4.1.87,R11320
2746,2.7.1.165,R08572
2747,2.4.2.61,R12244
2748,4.1.99.22,R09394
2749,4.6.1.17,R11372
2750,2.7.7.40,R02921
2751,3.1.7.2,R00336
2752,3.5.1.122,R11560
2753,1.1.99.39,R10575
2754,3.1.3.81,R09644
2755,3.1.3.81,R02239
2756,3.1.1.106,R12390
2757,3.1.1.106,R12391
2758,1.14.14.74,R12070
2759,3.2.1.107,R04503
2760,2.1.1.34,R02917
2761,1.8.1.9,R02016
2762,1.8.1.9,R00900
2763,1.8.1.9,R03596
2764,1.8.1.9,R09372
2765,2.3.1.45,R01807
2766,2.3.1.45,R01808
2767,3.5.99.10,R11098
2768,3.5.99.10,R11099
2769,4.2.1.48,R01583
2770,2.1.1.286,R10497
2771,3.5.1.128,R12024
2772,2.3.1.68,R00577
2773,1.2.1.32,R03889
2774,2.3.1.291,R01496
2775,2.3.1.291,R06517
2776,3.2.1.209,R12477
2777,2.3.1.181,R12427
2778,2.3.1.181,R12428
2779,2.3.1.181,R07769
