,reaction,compound
0,R00407,C00010
1,R00407,C00042
2,R00407,C00091
3,R00407,C00001
4,R00409,C00022
5,R00409,C00042
6,R00409,C04593
7,R00479,C00042
8,R00479,C00048
9,R00479,C00311
10,R00713,C00042
11,R00713,C00004
12,R00713,C00080
13,R00713,C00232
14,R00713,C00003
15,R00713,C00001
16,R00714,C00042
17,R00714,C00005
18,R00714,C00080
19,R00714,C00232
20,R00714,C00006
21,R00714,C00001
22,R00727,C00104
23,R00727,C00009
24,R00727,C00091
25,R00727,C00081
26,R00727,C00042
27,R00727,C00010
28,R00999,C00109
29,R00999,C00042
30,R00999,C00014
31,R00999,C01118
32,R00999,C00001
33,R01559,C00042
34,R01559,C00313
35,R01559,C00091
36,R01559,C00209
37,R01780,C00042
38,R01780,C00264
39,R01780,C00091
40,R01780,C01656
41,R02084,C00042
42,R02084,C00356
43,R02084,C00091
44,R02084,C03761
45,R02407,C00042
46,R02407,C00531
47,R02407,C00091
48,R02407,C00490
49,R02603,C04479
50,R02603,C00001
51,R02603,C00596
52,R02603,C00042
53,R02734,C00042
54,R02734,C00666
55,R02734,C04421
56,R02734,C00001
57,R02990,C00042
58,R02990,C02232
59,R02990,C00091
60,R02990,C00846
61,R03154,C00042
62,R03154,C01011
63,R03154,C00091
64,R03154,C02614
65,R04946,C05699
66,R04946,C00042
67,R04946,C01118
68,R04946,C05688
69,R05588,C09817
70,R05588,C00042
71,R05588,C09816
72,R05588,C00091
73,R06855,C06755
74,R06855,C00042
75,R06855,C12836
76,R06904,C14116
77,R06904,C00042
78,R06904,C14115
79,R06904,C00091
80,R10343,C00024
81,R10343,C00042
82,R10343,C00091
83,R10343,C00033
84,R10640,C00042
85,R10640,C20746
86,R10640,C00091
87,R10640,C02612
88,R10641,C00042
89,R10641,C20747
90,R10641,C00091
91,R10641,C00497
92,R10904,C00042
93,R10904,C06028
94,R10904,C00091
95,R10904,C01732
96,R11773,C00091
97,R11773,C00163
98,R11773,C00100
99,R11773,C00042
100,R01212,C00141
101,R01212,C00014
102,R01212,C00005
103,R01212,C00080
104,R01212,C00183
105,R01212,C00006
106,R01212,C00001
107,R01434,C00141
108,R01434,C00014
109,R01434,C00004
110,R01434,C00080
111,R01434,C00183
112,R01434,C00001
113,R01434,C00003
114,R01437,C02787
115,R01437,C00011
116,R01437,C00183
117,R02200,C00141
118,R02200,C00407
119,R02200,C00183
120,R02200,C00671
121,R08663,C03219
122,R08663,C03161
123,R08663,C00011
124,R08663,C00001
125,R08663,C00183
126,R08663,C00007
127,R08663,C03024
128,R10031,C20313
129,R10031,C03161
130,R10031,C00001
131,R10031,C00183
132,R10031,C00007
133,R10031,C03024
134,R04723,C00010
135,R04723,C05322
136,R04723,C00024
137,R04723,C05220
138,R04769,C06173
139,R04769,C00033
140,R04769,C05322
141,R04890,C05581
142,R04890,C00027
143,R04890,C00014
144,R04890,C05587
145,R04890,C00001
146,R04890,C00007
147,R08831,C17754
148,R08831,C00001
149,R08831,C05587
150,R08831,C08538
151,R00736,C00483
152,R00736,C00011
153,R00736,C00082
154,R02382,C03765
155,R02382,C00014
156,R02382,C00027
157,R02382,C00483
158,R02382,C00001
159,R02382,C00007
160,R02385,C00010
161,R02385,C02717
162,R02385,C00406
163,R02385,C00483
164,R08436,C21634
165,R08436,C00001
166,R08436,C00483
167,R08436,C16700
168,R01986,C00334
169,R01986,C00005
170,R01986,C00080
171,R01986,C00555
172,R01986,C00006
173,R01986,C00001
174,R01987,C02946
175,R01987,C00001
176,R01987,C00334
177,R01987,C00033
178,R01990,C00334
179,R01990,C00086
180,R01990,C01035
181,R01990,C00001
182,R01992,C00334
183,R01992,C00135
184,R01992,C00884
185,R01992,C00001
186,R02549,C00334
187,R02549,C00004
188,R02549,C00080
189,R02549,C00555
190,R02549,C00003
191,R02549,C00001
192,R08461,C16666
193,R08461,C00232
194,R08461,C00755
195,R08461,C00334
196,R10102,C00334
197,R10102,C00067
198,R10102,C00027
199,R10102,C15987
200,R10102,C00007
201,R10102,C00001
202,R10179,C00232
203,R10179,C00037
204,R10179,C00334
205,R10179,C00048
206,R03444,C04002
207,R03444,C00001
208,R03444,C01251
209,R01883,C00021
210,R01883,C00300
211,R01883,C00019
212,R01883,C00581
213,R02611,C00601
214,R02611,C00004
215,R02611,C00080
216,R02611,C05853
217,R02611,C00003
218,R01863,C00262
219,R01863,C00620
220,R01863,C00294
221,R01863,C00009
222,R01257,C00036
223,R01257,C01352
224,R01257,C00149
225,R01257,C00016
226,R05821,C11631
227,R05821,C00001
228,R05821,C00294
229,R05821,C00007
230,R08445,C12231
231,R08445,C03758
232,R07147,C00198
233,R07147,C00005
234,R07147,C00080
235,R07147,C00031
236,R07147,C00006
237,R01520,C00198
238,R01520,C00004
239,R01520,C00080
240,R01520,C00221
241,R01520,C00003
242,R06620,C00198
243,R06620,C00390
244,R06620,C00031
245,R06620,C00399
246,R01377,C00601
247,R01377,C00011
248,R01377,C00166
249,R01770,C00262
250,R01770,C00121
251,R01770,C00294
252,R01770,C00001
253,R10411,C00198
254,R10411,C00030
255,R10411,C00031
256,R10411,C00028
257,R02537,C07086
258,R02537,C00005
259,R02537,C00080
260,R02537,C00601
261,R02537,C00006
262,R02537,C00001
263,R00565,C00077
264,R00565,C00581
265,R00565,C00062
266,R00565,C00037
267,R02613,C00601
268,R02613,C00014
269,R02613,C00027
270,R02613,C05332
271,R02613,C00007
272,R02613,C00001
273,R00216,C00022
274,R00216,C00011
275,R00216,C00005
276,R00216,C00080
277,R00216,C00149
278,R00216,C00006
279,R02286,C01045
280,R02286,C00014
281,R02286,C00439
282,R02286,C00001
283,R02615,C00601
284,R02615,C02083
285,R04300,C04043
286,R04300,C00014
287,R04300,C00027
288,R04300,C03758
289,R04300,C00001
290,R04300,C00007
291,R02612,C00601
292,R02612,C00014
293,R02612,C00030
294,R02612,C05332
295,R02612,C00001
296,R02612,C00028
297,R01882,C00300
298,R01882,C00009
299,R01882,C02305
300,R01882,C00001
301,R01256,C00008
302,R01256,C00009
303,R01256,C04348
304,R01256,C00002
305,R01256,C00149
306,R01256,C00010
307,R00305,C00198
308,R00305,C15603
309,R00305,C00031
310,R00305,C15602
311,R10612,C00149
312,R10612,C00010
313,R10612,C04348
314,R10612,C00001
315,R11074,C00186
316,R11074,C00011
317,R11074,C00149
318,R05750,C07304
319,R05750,C00001
320,R05750,C03758
321,R05750,C01852
322,R02288,C00439
323,R02288,C03680
324,R02288,C00001
325,R01560,C00294
326,R01560,C00014
327,R01560,C00212
328,R01560,C00001
329,R01082,C00122
330,R01082,C00001
331,R01082,C00149
332,R08832,C17755
333,R08832,C00001
334,R08832,C03758
335,R08832,C00007
336,R00342,C00036
337,R00342,C00004
338,R00342,C00080
339,R00342,C00149
340,R00342,C00003
341,R05749,C07307
342,R05749,C00001
343,R05749,C03758
344,R05749,C01852
345,R01447,C00149
346,R01447,C00022
347,R01447,C00186
348,R01447,C00036
349,R04084,C02916
350,R04084,C00001
351,R04084,C04043
352,R04084,C03758
353,R01131,C00008
354,R01131,C00130
355,R01131,C00002
356,R01131,C00294
357,R00300,C00198
358,R00300,C00004
359,R00300,C00080
360,R00300,C00031
361,R00300,C00003
362,R02535,C00547
363,R02535,C05422
364,R02535,C00001
365,R02535,C03758
366,R02535,C00072
367,R02535,C00007
368,R00472,C00024
369,R00472,C00001
370,R00472,C00048
371,R00472,C00149
372,R00472,C00010
373,R00361,C00036
374,R00361,C15603
375,R00361,C00149
376,R00361,C15602
377,R02287,C00101
378,R02287,C00439
379,R02287,C00664
380,R02287,C00025
381,R01881,C00008
382,R01881,C02305
383,R01881,C00002
384,R01881,C00300
385,R01522,C00198
386,R01522,C00027
387,R01522,C00221
388,R01522,C00007
389,R08513,C16704
390,R08513,C03758
391,R00874,C00198
392,R00874,C00794
393,R00874,C00095
394,R00874,C00031
395,R04305,C06160
396,R04305,C00001
397,R04305,C03765
398,R04305,C03758
399,R01566,C00213
400,R01566,C00086
401,R01566,C00300
402,R01566,C00001
403,R10697,C00601
404,R10697,C20782
405,R00360,C00036
406,R00360,C00027
407,R00360,C00149
408,R00360,C00007
409,R00775,C00037
410,R00775,C00086
411,R00775,C00581
412,R00775,C00001
413,R08835,C08557
414,R08835,C00001
415,R08835,C03758
416,R08835,C08538
417,R01092,C00008
418,R01092,C00446
419,R01092,C00002
420,R01092,C00984
421,R03323,C00031
422,R03323,C02887
423,R03323,C01175
424,R03323,C00149
425,R04301,C00021
426,R04301,C05587
427,R04301,C00019
428,R04301,C03758
429,R01884,C00300
430,R01884,C00791
431,R01884,C00001
432,R02536,C07086
433,R02536,C00004
434,R02536,C00080
435,R02536,C00601
436,R02536,C00003
437,R02536,C00001
438,R10619,C00984
439,R10619,C00124
440,R01519,C00257
441,R01519,C00198
442,R01519,C00001
443,R02575,C00008
444,R02575,C03166
445,R02575,C00002
446,R02575,C00581
447,R08444,C06546
448,R08444,C03758
449,R00343,C00036
450,R00343,C00005
451,R00343,C00080
452,R00343,C00149
453,R00343,C00006
454,R00406,C00042
455,R00406,C04348
456,R00406,C00091
457,R00406,C00149
458,R02285,C00025
459,R02285,C00488
460,R02285,C00439
461,R02285,C00001
462,R00055,C01993
463,R00055,C00001
464,R00055,C00294
465,R00055,C00007
466,R02080,C03758
467,R02080,C00011
468,R02080,C00355
469,R00214,C00022
470,R00214,C00011
471,R00214,C00004
472,R00214,C00080
473,R00214,C00149
474,R00214,C00003
475,R03861,C00010
476,R03861,C03526
477,R03861,C00411
478,R03861,C00198
479,R02383,C03758
480,R02383,C00003
481,R02383,C00001
482,R02383,C00483
483,R02383,C00007
484,R02383,C00004
485,R02383,C00080
486,R11684,C21584
487,R11684,C00001
488,R11684,C11816
489,R11684,C03758
490,R01126,C00294
491,R01126,C00009
492,R01126,C00130
493,R01126,C00001
494,R08447,C16707
495,R08447,C03758
496,R08447,C16706
497,R11918,C00601
498,R11918,C00011
499,R11918,C00014
500,R11918,C00027
501,R11918,C00079
502,R11918,C00007
503,R11918,C00001
504,R01521,C00198
505,R01521,C00005
506,R01521,C00080
507,R01521,C00221
508,R01521,C00006
509,R00552,C00327
510,R00552,C00014
511,R00552,C00062
512,R00552,C00001
513,R11711,C00327
514,R11711,C00533
515,R11711,C02869
516,R11711,C00001
517,R11711,C00062
518,R11711,C02745
519,R11711,C00007
520,R10106,C00327
521,R10106,C00533
522,R10106,C00003
523,R10106,C00001
524,R10106,C00062
525,R10106,C00004
526,R10106,C00080
527,R10106,C00007
528,R01686,C01959
529,R01686,C00077
530,R01686,C00245
531,R01686,C00062
532,R01989,C00077
533,R01989,C01035
534,R01989,C00062
535,R01989,C00334
536,R00551,C00077
537,R00551,C00086
538,R00551,C00062
539,R00551,C00001
540,R03477,C00077
541,R03477,C01294
542,R03477,C00062
543,R03477,C01283
544,R01398,C00009
545,R01398,C00327
546,R01398,C00169
547,R01398,C00077
548,R00557,C00533
549,R00557,C00327
550,R00557,C00006
551,R00557,C00001
552,R00557,C00062
553,R00557,C00007
554,R00557,C00005
555,R00557,C00080
556,R00665,C00077
557,R00665,C00011
558,R00665,C00014
559,R00665,C00327
560,R00665,C00001
561,R09785,C00042
562,R09785,C00011
563,R09785,C17349
564,R09785,C03912
565,R09785,C00001
566,R09785,C00026
567,R09785,C00062
568,R09785,C00007
569,R05547,C01121
570,R05547,C00077
571,R05547,C11351
572,R05547,C00062
573,R01248,C03912
574,R01248,C00004
575,R01248,C00080
576,R01248,C00148
577,R01248,C00003
578,R11801,C21680
579,R11801,C00229
580,R11801,C00077
581,R11801,C01271
582,R11713,C00327
583,R11713,C00533
584,R11713,C02869
585,R11713,C00001
586,R11713,C05933
587,R11713,C02745
588,R11713,C00007
589,R09593,C00008
590,R09593,C00009
591,R09593,C19713
592,R09593,C00002
593,R09593,C19710
594,R09593,C00062
595,R01251,C03912
596,R01251,C00005
597,R01251,C00080
598,R01251,C00148
599,R01251,C00006
600,R01954,C00020
601,R01954,C00013
602,R01954,C03406
603,R01954,C00002
604,R01954,C00327
605,R01954,C00049
606,R00707,C00025
607,R00707,C00004
608,R00707,C00080
609,R00707,C03912
610,R00707,C00003
611,R00707,C00001
612,R10789,C20850
613,R10789,C00006
614,R10789,C00001
615,R10789,C00077
616,R10789,C00005
617,R10789,C00080
618,R10789,C00007
619,R11032,C00062
620,R11032,C00006
621,R11032,C00001
622,R11032,C03771
623,R11032,C00005
624,R11032,C00080
625,R11032,C00014
626,R06531,C12147
627,R06531,C00008
628,R06531,C00188
629,R06531,C00002
630,R01466,C00188
631,R01466,C00009
632,R01466,C01102
633,R01466,C00001
634,R10081,C00042
635,R10081,C00011
636,R10081,C20330
637,R10081,C00026
638,R10081,C00062
639,R10081,C00007
640,R02513,C00543
641,R02513,C00327
642,R02513,C03626
643,R02513,C00001
644,R00671,C00148
645,R00671,C00014
646,R00671,C00077
647,R08197,C03771
648,R08197,C00041
649,R08197,C00062
650,R08197,C00022
651,R11712,C05933
652,R11712,C02869
653,R11712,C00001
654,R11712,C00062
655,R11712,C02745
656,R11712,C00007
657,R00735,C00020
658,R00735,C00013
659,R00735,C02993
660,R00735,C00002
661,R00735,C00082
662,R00735,C00062
663,R10082,C17349
664,R10082,C03912
665,R10082,C00001
666,R10082,C20330
667,R00670,C00134
668,R00670,C00011
669,R00670,C00077
670,R10880,C00020
671,R10880,C00013
672,R10880,C17355
673,R10880,C20910
674,R10880,C00002
675,R10880,C12323
676,R10880,C00062
677,R10880,C00065
678,R10880,C00001
679,R10463,C20641
680,R10463,C00013
681,R10463,C00001
682,R10463,C00188
683,R10463,C00002
684,R10463,C00288
685,R10463,C00080
686,R11033,C05933
687,R11033,C00062
688,R10107,C05933
689,R10107,C00003
690,R10107,C00001
691,R10107,C00062
692,R10107,C00007
693,R10107,C00004
694,R10107,C00080
695,R00669,C00033
696,R00669,C00077
697,R00669,C00437
698,R00669,C00001
699,R10485,C00010
700,R10485,C17366
701,R10485,C00011
702,R10485,C00083
703,R10485,C03912
704,R10485,C00001
705,R03314,C03912
706,R03314,C00001
707,R03314,C01165
708,R00566,C00179
709,R00566,C00011
710,R00566,C00062
711,R10790,C20850
712,R10790,C00003
713,R10790,C00001
714,R10790,C00077
715,R10790,C00004
716,R10790,C00080
717,R10790,C00007
718,R01465,C03508
719,R01465,C00004
720,R01465,C00080
721,R01465,C00188
722,R01465,C00003
723,R00751,C00037
724,R00751,C00084
725,R00751,C00188
726,R07247,C00084
727,R07247,C15533
728,R07247,C00188
729,R07247,C15488
730,R10933,C00077
731,R10933,C19885
732,R10933,C20951
733,R10933,C00001
734,R00666,C00077
735,R00666,C00022
736,R00666,C00005
737,R00666,C00080
738,R00666,C04210
739,R00666,C00006
740,R00666,C00001
741,R00559,C03078
742,R00559,C00011
743,R00559,C00001
744,R00559,C00062
745,R00559,C00007
746,R05465,C06655
747,R05465,C00009
748,R05465,C00118
749,R05465,C00062
750,R00558,C05933
751,R00558,C00006
752,R00558,C00001
753,R00558,C00062
754,R00558,C00007
755,R00558,C00005
756,R00558,C00080
757,R00563,C00062
758,R00563,C00026
759,R00563,C00005
760,R00563,C00080
761,R00563,C01682
762,R00563,C00006
763,R00563,C00001
764,R10888,C20915
765,R10888,C20914
766,R10888,C00188
767,R09363,C18473
768,R09363,C00042
769,R09363,C00011
770,R09363,C00062
771,R09363,C00026
772,R09363,C00007
773,R08323,C16594
774,R08323,C00008
775,R08323,C00009
776,R08323,C16593
777,R08323,C00188
778,R08323,C00002
779,R01086,C00122
780,R01086,C00062
781,R01086,C03406
782,R10108,C00327
783,R10108,C00533
784,R10108,C00003
785,R10108,C00001
786,R10108,C05933
787,R10108,C00004
788,R10108,C00080
789,R10108,C00007
790,R03646,C00020
791,R03646,C00013
792,R03646,C02163
793,R03646,C00002
794,R03646,C00062
795,R03646,C01636
796,R11604,C03771
797,R11604,C00014
798,R11604,C00027
799,R11604,C00062
800,R11604,C00001
801,R11604,C00007
802,R00667,C01165
803,R00667,C00025
804,R00667,C00077
805,R00667,C00026
806,R10507,C03912
807,R10507,C01352
808,R10507,C00148
809,R10507,C00016
810,R00111,C00006
811,R00111,C00533
812,R00111,C00327
813,R00111,C00001
814,R00111,C00005
815,R00111,C05933
816,R00111,C00007
817,R00111,C00080
818,R00668,C04322
819,R00668,C00025
820,R00668,C00001
821,R00668,C00077
822,R00668,C00026
823,R00832,C00010
824,R00832,C03296
825,R00832,C00091
826,R00832,C00062
827,R01467,C00820
828,R01467,C00188
829,R11085,C00008
830,R11085,C00009
831,R11085,C21099
832,R11085,C00002
833,R11085,C00062
834,R11085,C00151
835,R11819,C03912
836,R11819,C00001
837,R11819,C01157
838,R10891,C20918
839,R10891,C00188
840,R10891,C20917
841,R10891,C00001
842,R00562,C00062
843,R00562,C00022
844,R00562,C00004
845,R00562,C00080
846,R00562,C04137
847,R00562,C00003
848,R00562,C00001
849,R09107,C00033
850,R09107,C00327
851,R09107,C15532
852,R09107,C00001
853,R00567,C00792
854,R00567,C00062
855,R02282,C00077
856,R02282,C00624
857,R02282,C00437
858,R02282,C00025
859,R10466,C00077
860,R10466,C07044
861,R10466,C05933
862,R10466,C00001
863,R01253,C03912
864,R01253,C15603
865,R01253,C00148
866,R01253,C15602
867,R00672,C00515
868,R00672,C00077
869,R00996,C00109
870,R00996,C00014
871,R00996,C00188
872,R03663,C00020
873,R03663,C00013
874,R03663,C02992
875,R03663,C00002
876,R03663,C00188
877,R03663,C01651
878,R01886,C00062
879,R01886,C00301
880,R01886,C01201
881,R01886,C00001
882,R00708,C00025
883,R00708,C00005
884,R00708,C00080
885,R00708,C03912
886,R00708,C00006
887,R00708,C00001
888,R00912,C00008
889,R00912,C00009
890,R00912,C05340
891,R00912,C00002
892,R00912,C00062
893,R00912,C00099
894,R11031,C00062
895,R11031,C00003
896,R11031,C00001
897,R11031,C03771
898,R11031,C00004
899,R11031,C00080
900,R11031,C00014
901,R00554,C00008
902,R00554,C05945
903,R00554,C00002
904,R00554,C00062
905,R01343,C01165
906,R01343,C00151
907,R01343,C00077
908,R01343,C00161
909,R00664,C00010
910,R00664,C03712
911,R00664,C00512
912,R00664,C00077
913,R10892,C00008
914,R10892,C00009
915,R10892,C20917
916,R10892,C00002
917,R10892,C20918
918,R10892,C00188
919,R03304,C00021
920,R03304,C05582
921,R03304,C00019
922,R03304,C01161
923,R00650,C00021
924,R00650,C00073
925,R00650,C00019
926,R00650,C00155
927,R06778,C12479
928,R06778,C00020
929,R06778,C00013
930,R06778,C00021
931,R06778,C20637
932,R06778,C12468
933,R06778,C00002
934,R06778,C00019
935,R10645,C20753
936,R10645,C00021
937,R10645,C00073
938,R10645,C05198
939,R10645,C04432
940,R10645,C17023
941,R10645,C00019
942,R04563,C00020
943,R04563,C00013
944,R04563,C04682
945,R04563,C00002
946,R04563,C00120
947,R04563,C04736
948,R10652,C20758
949,R10652,C00021
950,R10652,C00073
951,R10652,C05198
952,R10652,C20756
953,R10652,C17023
954,R10652,C00019
955,R01078,C00120
956,R01078,C00073
957,R01078,C05198
958,R01078,C01909
959,R01078,C17023
960,R01078,C00019
961,R01078,C05359
962,R01078,C00080
963,R11515,C00020
964,R11515,C00013
965,R11515,C21430
966,R11515,C00025
967,R11515,C00002
968,R11515,C01209
969,R11515,C00064
970,R11515,C00001
971,R10495,C20579
972,R10495,C00020
973,R10495,C00013
974,R10495,C00021
975,R10495,C00002
976,R10495,C00019
977,R10495,C00108
978,R10495,C00079
979,R11941,C00020
980,R11941,C00009
981,R11941,C21785
982,R11941,C00002
983,R11941,C00064
984,R11941,C00001
985,R03889,C02220
986,R03889,C00080
987,R03889,C00004
988,R03889,C03824
989,R03889,C00003
990,R03889,C00001
991,R00194,C03539
992,R00194,C00147
993,R00194,C00021
994,R00194,C00001
995,R08244,C16619
996,R08244,C00020
997,R08244,C00013
998,R08244,C00025
999,R08244,C16618
1000,R08244,C00002
1001,R08244,C00064
1002,R08244,C00001
1003,R01231,C00020
1004,R01231,C00013
1005,R01231,C00144
1006,R01231,C00025
1007,R01231,C00002
1008,R01231,C00655
1009,R01231,C00064
1010,R01231,C00001
1011,R11063,C00073
1012,R11063,C03172
1013,R11063,C00155
1014,R00649,C00021
1015,R00649,C03172
1016,R00649,C00019
1017,R00649,C00073
1018,R03659,C00020
1019,R03659,C00013
1020,R03659,C02430
1021,R03659,C00002
1022,R03659,C00073
1023,R03659,C01647
1024,R04562,C00020
1025,R04562,C00013
1026,R04562,C04681
1027,R04562,C00002
1028,R04562,C00120
1029,R04562,C04735
1030,R00257,C00020
1031,R00257,C00013
1032,R00257,C00003
1033,R00257,C00025
1034,R00257,C00002
1035,R00257,C00857
1036,R00257,C00064
1037,R00257,C00001
1038,R10649,C20752
1039,R10649,C00021
1040,R10649,C00073
1041,R10649,C05198
1042,R10649,C20751
1043,R10649,C17023
1044,R10649,C00019
1045,R01075,C00020
1046,R01075,C00013
1047,R01075,C01894
1048,R01075,C00002
1049,R01075,C00120
1050,R01075,C00010
1051,R00578,C00020
1052,R00578,C00013
1053,R00578,C00152
1054,R00578,C00025
1055,R00578,C00002
1056,R00578,C00049
1057,R00578,C00064
1058,R00578,C00001
1059,R00946,C00101
1060,R00946,C00073
1061,R00946,C00440
1062,R00946,C00155
1063,R02821,C01026
1064,R02821,C00073
1065,R02821,C00719
1066,R02821,C00155
1067,R00192,C00212
1068,R00192,C00155
1069,R00192,C00021
1070,R00192,C00001
1071,R04153,C03173
1072,R04153,C00073
1073,R04153,C00080
1074,R04153,C03392
1075,R04153,C00155
1076,R11700,C00021
1077,R11700,C00073
1078,R11700,C05198
1079,R11700,C21603
1080,R11700,C14818
1081,R11700,C02869
1082,R11700,C00019
1083,R11700,C00032
1084,R11700,C02745
1085,R04582,C00020
1086,R04582,C00013
1087,R04582,C04727
1088,R04582,C00002
1089,R04582,C00120
1090,R04582,C04763
1091,R04604,C00020
1092,R04604,C00013
1093,R04604,C04801
1094,R04604,C00002
1095,R04604,C00120
1096,R04604,C04827
1097,R04405,C04144
1098,R04405,C00073
1099,R04405,C04489
1100,R04405,C00155
1101,R00182,C00147
1102,R00182,C00117
1103,R00182,C00020
1104,R00182,C00001
1105,R09195,C00020
1106,R09195,C00013
1107,R09195,C06625
1108,R09195,C00025
1109,R09195,C00002
1110,R09195,C00083
1111,R09195,C00064
1112,R09195,C00001
1113,R00190,C00147
1114,R00190,C00119
1115,R00190,C00020
1116,R00190,C00013
1117,R10836,C00147
1118,R10836,C01151
1119,R10836,C00020
1120,R10836,C00009
1121,R03652,C00020
1122,R03652,C00013
1123,R03652,C02282
1124,R03652,C00002
1125,R03652,C00064
1126,R03652,C01640
1127,R01083,C00122
1128,R01083,C00020
1129,R01083,C03794
1130,R02157,C00021
1131,R02157,C04443
1132,R02157,C00019
1133,R02157,C00389
1134,R05145,C00020
1135,R05145,C06250
1136,R05145,C05921
1137,R05145,C06249
1138,R09523,C00021
1139,R09523,C18448
1140,R09523,C00019
1141,R09523,C00708
1142,R09523,C00080
1143,R05810,C16242
1144,R05810,C00021
1145,R05810,C11540
1146,R05810,C00019
1147,R03130,C00021
1148,R03130,C01598
1149,R03130,C00019
1150,R03130,C00978
1151,R12064,C00020
1152,R12064,C21881
1153,R12064,C21879
1154,R12064,C02743
1155,R04894,C05583
1156,R04894,C00027
1157,R04894,C00218
1158,R04894,C05588
1159,R04894,C00001
1160,R04894,C00007
1161,R07608,C15998
1162,R07608,C00342
1163,R07608,C00073
1164,R07608,C00343
1165,R07608,C00001
1166,R02711,C00020
1167,R02711,C00013
1168,R02711,C01109
1169,R02711,C00002
1170,R02711,C00651
1171,R02711,C00014
1172,R10250,C10454
1173,R10250,C00021
1174,R10250,C10453
1175,R10250,C00019
1176,R08088,C16464
1177,R08088,C00020
1178,R08088,C00013
1179,R08088,C16462
1180,R08088,C00010
1181,R08088,C00002
1182,R04580,C00020
1183,R04580,C00013
1184,R04580,C04760
1185,R04580,C00002
1186,R04580,C04722
1187,R04580,C00010
1188,R03623,C00021
1189,R03623,C02922
1190,R03623,C00019
1191,R03623,C01592
1192,R11710,C21582
1193,R11710,C05198
1194,R11710,C00073
1195,R11710,C00019
1196,R11710,C18161
1197,R11710,C00001
1198,R07640,C00020
1199,R07640,C00013
1200,R07640,C00046
1201,R07640,C00002
1202,R07640,C00046
1203,R07640,C00046
1204,R11533,C00021
1205,R11533,C21295
1206,R11533,C00019
1207,R11533,C21442
1208,R11533,C00080
1209,R04496,C00021
1210,R04496,C04748
1211,R04496,C00019
1212,R04496,C04506
1213,R08794,C00021
1214,R08794,C05202
1215,R08794,C00019
1216,R08794,C06517
1217,R02699,C00020
1218,R02699,C00013
1219,R02699,C05338
1220,R02699,C00002
1221,R02699,C00642
1222,R02699,C00010
1223,R06859,C02059
1224,R06859,C00021
1225,R06859,C13309
1226,R06859,C00019
1227,R02698,C01161
1228,R02698,C00003
1229,R02698,C00001
1230,R02698,C00642
1231,R02698,C00007
1232,R02698,C00004
1233,R02698,C00080
1234,R10653,C20757
1235,R10653,C00073
1236,R10653,C05198
1237,R10653,C20756
1238,R10653,C17023
1239,R10653,C00019
1240,R00619,C00020
1241,R00619,C00068
1242,R00619,C00002
1243,R00619,C00378
1244,R06439,C11933
1245,R06439,C00021
1246,R06439,C00080
1247,R06439,C11925
1248,R06439,C00019
1249,R01721,C00021
1250,R01721,C01004
1251,R01721,C00019
1252,R01721,C00253
1253,R01716,C11355
1254,R01716,C00025
1255,R01716,C00251
1256,R01716,C00064
1257,R11413,C00021
1258,R11413,C21344
1259,R11413,C00019
1260,R11413,C21343
1261,R09881,C20198
1262,R09881,C00020
1263,R09881,C20190
1264,R09881,C00001
1265,R10492,C00021
1266,R10492,C14154
1267,R10492,C00019
1268,R10492,C14156
1269,R00436,C00020
1270,R00436,C00013
1271,R00436,C02073
1272,R00436,C00002
1273,R00436,C00046
1274,R01291,C11838
1275,R01291,C00155
1276,R01291,C03539
1277,R04887,C00021
1278,R04887,C05584
1279,R04887,C00019
1280,R04887,C05580
1281,R03788,C00021
1282,R03788,C04833
1283,R03788,C00019
1284,R03788,C01972
1285,R04714,C00021
1286,R04714,C05317
1287,R04714,C00080
1288,R04714,C00019
1289,R04714,C05203
1290,R04038,C00013
1291,R04038,C04713
1292,R04038,C00235
1293,R04038,C00020
1294,R01292,C00155
1295,R01292,C00127
1296,R01292,C01817
1297,R01292,C00051
1298,R09063,C18161
1299,R09063,C00021
1300,R09063,C18160
1301,R09063,C00019
1302,R05212,C00021
1303,R05212,C06520
1304,R05212,C00019
1305,R05212,C06517
1306,R03036,C01134
1307,R03036,C00020
1308,R03036,C00882
1309,R03036,C00001
1310,R03595,C00020
1311,R03595,C05172
1312,R03595,C00009
1313,R03595,C00002
1314,R03595,C01528
1315,R03595,C00001
1316,R04449,C00020
1317,R04449,C00013
1318,R04449,C04334
1319,R04449,C00002
1320,R04449,C00033
1321,R04449,C04298
1322,R10654,C20758
1323,R10654,C00021
1324,R10654,C20757
1325,R10654,C00019
1326,R01423,C00020
1327,R01423,C00180
1328,R01423,C06433
1329,R01423,C00001
1330,R08855,C05894
1331,R08855,C00025
1332,R08855,C00008
1333,R08855,C00009
1334,R08855,C05893
1335,R08855,C00064
1336,R08855,C00002
1337,R08855,C00001
1338,R09870,C00021
1339,R09870,C20154
1340,R09870,C00019
1341,R09870,C03582
1342,R05757,C00021
1343,R05757,C02079
1344,R05757,C00019
1345,R05757,C07349
1346,R03875,C05544
1347,R03875,C00021
1348,R03875,C02188
1349,R03875,C00019
1350,R05717,C00224
1351,R05717,C00051
1352,R05717,C00020
1353,R05717,C00094
1354,R05717,C00127
1355,R10197,C00021
1356,R10197,C20434
1357,R10197,C00019
1358,R10197,C20432
1359,R09678,C00021
1360,R09678,C19807
1361,R09678,C00019
